"NSFTV.ID","PSA","Exp","Rep","DayOfImaging"
"NSFTV_1",27629,"E1",1,0
"NSFTV_1",40947,"E1",1,2
"NSFTV_1",44651,"E1",1,3
"NSFTV_1",56275,"E1",1,5
"NSFTV_1",66013,"E1",1,6
"NSFTV_1",72794,"E1",1,7
"NSFTV_1",81902,"E1",1,8
"NSFTV_1",97326,"E1",1,9
"NSFTV_1",NA,"E1",2,0
"NSFTV_1",NA,"E1",2,2
"NSFTV_1",NA,"E1",2,3
"NSFTV_1",NA,"E1",2,5
"NSFTV_1",NA,"E1",2,6
"NSFTV_1",NA,"E1",2,7
"NSFTV_1",NA,"E1",2,8
"NSFTV_1",NA,"E1",2,9
"NSFTV_1",56126,"E2",1,0
"NSFTV_1",90623,"E2",1,2
"NSFTV_1",94818,"E2",1,3
"NSFTV_1",117640,"E2",1,5
"NSFTV_1",129363,"E2",1,6
"NSFTV_1",163237,"E2",1,7
"NSFTV_1",182224,"E2",1,8
"NSFTV_1",199032,"E2",1,9
"NSFTV_1",NA,"E2",2,0
"NSFTV_1",NA,"E2",2,2
"NSFTV_1",NA,"E2",2,3
"NSFTV_1",NA,"E2",2,5
"NSFTV_1",NA,"E2",2,6
"NSFTV_1",NA,"E2",2,7
"NSFTV_1",NA,"E2",2,8
"NSFTV_1",NA,"E2",2,9
"NSFTV_1",25472,"E3",1,0
"NSFTV_1",28138,"E3",1,2
"NSFTV_1",33733,"E3",1,3
"NSFTV_1",45918,"E3",1,5
"NSFTV_1",47708,"E3",1,6
"NSFTV_1",57117,"E3",1,7
"NSFTV_1",66747,"E3",1,8
"NSFTV_1",76074,"E3",1,9
"NSFTV_1",NA,"E3",2,0
"NSFTV_1",NA,"E3",2,2
"NSFTV_1",NA,"E3",2,3
"NSFTV_1",NA,"E3",2,5
"NSFTV_1",NA,"E3",2,6
"NSFTV_1",NA,"E3",2,7
"NSFTV_1",NA,"E3",2,8
"NSFTV_1",NA,"E3",2,9
"NSFTV_10",12875,"E1",1,0
"NSFTV_10",19304,"E1",1,2
"NSFTV_10",20737,"E1",1,3
"NSFTV_10",25905,"E1",1,5
"NSFTV_10",31793,"E1",1,6
"NSFTV_10",36025,"E1",1,7
"NSFTV_10",43189,"E1",1,8
"NSFTV_10",50598,"E1",1,9
"NSFTV_10",NA,"E1",2,0
"NSFTV_10",NA,"E1",2,2
"NSFTV_10",NA,"E1",2,3
"NSFTV_10",NA,"E1",2,5
"NSFTV_10",NA,"E1",2,6
"NSFTV_10",NA,"E1",2,7
"NSFTV_10",NA,"E1",2,8
"NSFTV_10",NA,"E1",2,9
"NSFTV_10",35704,"E2",1,0
"NSFTV_10",46296,"E2",1,2
"NSFTV_10",53372,"E2",1,3
"NSFTV_10",61994,"E2",1,5
