"Exp","Treatment","Rep","DayOfImaging","PSA","NSFTV.ID"
"E1","Stress",1,0,25160,"NSFTV_1"
"E1","Control",1,0,27629,"NSFTV_1"
"E1","Stress",1,2,39897,"NSFTV_1"
"E1","Control",1,2,40947,"NSFTV_1"
"E1","Control",1,3,44651,"NSFTV_1"
"E1","Stress",1,3,46589,"NSFTV_1"
"E1","Control",1,5,56275,"NSFTV_1"
"E1","Stress",1,5,62945,"NSFTV_1"
"E1","Control",1,6,66013,"NSFTV_1"
"E1","Stress",1,6,83079,"NSFTV_1"
"E1","Control",1,7,72794,"NSFTV_1"
"E1","Stress",1,7,91219,"NSFTV_1"
"E1","Control",1,8,81902,"NSFTV_1"
"E1","Stress",1,8,98758,"NSFTV_1"
"E1","Stress",1,9,100309,"NSFTV_1"
"E1","Control",1,9,97326,"NSFTV_1"
"E1","Stress",1,10,106594,"NSFTV_1"
"E1","Control",1,10,112046,"NSFTV_1"
"E1","Stress",1,11,116777,"NSFTV_1"
"E1","Control",1,11,125920,"NSFTV_1"
"E1","Stress",1,12,125202,"NSFTV_1"
"E1","Control",1,12,139062,"NSFTV_1"
"E1","Stress",1,13,130889,"NSFTV_1"
"E1","Control",1,13,151239,"NSFTV_1"
"E1","Control",1,14,170069,"NSFTV_1"
"E1","Stress",1,14,143471,"NSFTV_1"
"E1","Stress",1,15,160522,"NSFTV_1"
"E1","Control",1,15,193097,"NSFTV_1"
"E1","Control",1,16,221602,"NSFTV_1"
"E1","Stress",1,16,164334,"NSFTV_1"
"E1","Control",1,17,241766,"NSFTV_1"
"E1","Stress",1,17,183732,"NSFTV_1"
"E1","Stress",1,18,198268,"NSFTV_1"
"E1","Control",1,18,259017,"NSFTV_1"
"E1","Stress",1,19,208293,"NSFTV_1"
"E1","Control",1,19,288311,"NSFTV_1"
"E1","Stress",1,20,220093,"NSFTV_1"
"E1","Control",1,20,338671,"NSFTV_1"
"E2","Stress",1,0,61960,"NSFTV_1"
"E2","Control",1,0,56126,"NSFTV_1"
"E2","Stress",1,2,90414,"NSFTV_1"
"E2","Control",1,2,90623,"NSFTV_1"
"E2","Stress",1,3,98808,"NSFTV_1"
"E2","Control",1,3,94818,"NSFTV_1"
"E2","Control",1,5,117640,"NSFTV_1"
"E2","Stress",1,5,124204,"NSFTV_1"
"E2","Control",1,6,129363,"NSFTV_1"
"E2","Stress",1,6,133761,"NSFTV_1"
"E2","Control",1,7,163237,"NSFTV_1"
"E2","Stress",1,7,150430,"NSFTV_1"
"E2","Control",1,8,182224,"NSFTV_1"
"E2","Stress",1,8,164825,"NSFTV_1"
"E2","Control",1,9,199032,"NSFTV_1"
"E2","Stress",1,9,184208,"NSFTV_1"
"E2","Control",1,10,214404,"NSFTV_1"
"E2","Stress",1,10,193301,"NSFTV_1"
"E2","Control",1,11,238756,"NSFTV_1"
"E2","Stress",1,11,212579,"NSFTV_1"
"E2","Control",1,12,258157,"NSFTV_1"
"E2","Stress",1,12,229469,"NSFTV_1"
"E2","Stress",1,13,250929,"NSFTV_1"
"E2","Control",1,13,279259,"NSFTV_1"
"E2","Stress",1,14,261845,"NSFTV_1"
"E2","Control",1,14,289475,"NSFTV_1"
"E2","Control",1,15,312166,"NSFTV_1"
"E2","Stress",1,15,277802,"NSFTV_1"
"E2","Control",1,16,364289,"NSFTV_1"
"E2","Stress",1,16,287435,"NSFTV_1"
"E2","Control",1,17,409820,"NSFTV_1"
"E2","Stress",1,17,292882,"NSFTV_1"
"E2","Control",1,18,465714,"NSFTV_1"
"E2","Stress",1,18,313149,"NSFTV_1"
"E2","Control",1,19,494949,"NSFTV_1"
"E2","Stress",1,19,329911,"NSFTV_1"
"E2","Control",1,20,481396,"NSFTV_1"
"E2","Stress",1,20,355880,"NSFTV_1"
"E2","Control",1,21,540302,"NSFTV_1"
"E2","Stress",1,21,355955,"NSFTV_1"
"E3","Control",1,0,25472,"NSFTV_1"
"E3","Stress",1,0,16916,"NSFTV_1"
"E3","Stress",1,2,23742,"NSFTV_1"
"E3","Control",1,2,28138,"NSFTV_1"
"E3","Control",1,3,33733,"NSFTV_1"
"E3","Stress",1,3,27592,"NSFTV_1"
