probIn scale
0.4788724 2.431046e-06
0.4604222 2.378206e-06
0.4282501 2.379427e-06
0.4035344 2.395099e-06
0.3914277 2.427241e-06
0.365284 2.455065e-06
0.3430479 2.452668e-06
0.3438088 2.38683e-06
0.325355 2.311705e-06
0.3371888 2.347172e-06
0.3130972 2.290492e-06
0.3275164 2.29614e-06
0.3104425 2.286912e-06
0.2910098 2.313676e-06
0.2820238 2.368628e-06
0.265455 2.354582e-06
0.2440885 2.367034e-06
0.2571413 2.350958e-06
0.252723 2.406794e-06
0.2474173 2.464629e-06
0.246017 2.368431e-06
0.2479221 2.298987e-06
0.2250645 2.264825e-06
0.2113777 2.252192e-06
0.2003899 2.252567e-06
0.1985079 2.285473e-06
0.1952777 2.205944e-06
0.1829017 2.183348e-06
0.1723753 2.196131e-06
0.1683865 2.189628e-06
0.1525453 2.146203e-06
0.1587845 2.173144e-06
0.1599899 2.208042e-06
0.1826788 2.166311e-06
0.1786575 2.144302e-06
0.1640101 2.206262e-06
0.153416 2.211301e-06
0.1459293 2.217751e-06
0.1438412 2.185246e-06
0.1447033 2.104196e-06
0.12437 2.119554e-06
0.1156987 2.070304e-06
0.1232044 2.117631e-06
0.1225824 2.126299e-06
0.152753 2.122145e-06
0.1731721 2.164428e-06
0.1692052 2.194339e-06
0.1903717 2.146819e-06
0.1956515 2.234776e-06
0.1914549 2.212777e-06
0.1957558 2.25195e-06
0.1952983 2.220438e-06
0.193612 2.191979e-06
0.1899589 2.13694e-06
0.189695 2.180067e-06
0.1729849 2.131553e-06
0.1757768 2.160129e-06
0.1747732 2.189715e-06
0.1886032 2.174968e-06
0.1750353 2.224982e-06
0.1846788 2.161792e-06
0.1770984 2.218194e-06
0.1830597 2.19672e-06
0.1751024 2.118469e-06
0.1768704 2.173333e-06
0.1687052 2.195831e-06
0.1708162 2.220553e-06
0.1614139 2.258342e-06
0.1508761 2.254346e-06
0.1632905 2.287073e-06
0.1742047 2.299239e-06
0.1723527 2.284526e-06
0.1688889 2.31384e-06
0.1638834 2.263958e-06
0.1597722 2.265811e-06
0.1555458 2.241796e-06
0.1674907 2.293438e-06
0.1728727 2.347152e-06
0.1685735 2.35499e-06
0.1628922 2.316973e-06
0.1473543 2.266732e-06
0.1379881 2.240358e-06
0.1404344 2.234409e-06
0.1397043 2.238195e-06
0.1414375 2.300338e-06
0.1614761 2.391113e-06
0.154132 2.412803e-06
0.1369176 2.429901e-06
0.1408209 2.3976e-06
0.1557734 2.478619e-06
0.1459684 2.468268e-06
0.1357231 2.522171e-06
0.1335386 2.572439e-06
0.1224589 2.610199e-06
0.1038263 2.647589e-06
0.1296114 2.58017e-06
0.1359158 2.617056e-06
0.1391135 2.594855e-06
0.1535829 2.575295e-06
0.1563214 2.560158e-06
0.1551373 2.458387e-06
0.1455302 2.523101e-06
0.123217 2.579145e-06
0.1316104 2.54961e-06
0.1296702 2.56443e-06
0.1302285 2.505927e-06
0.1422488 2.502561e-06
0.1394461 2.510844e-06
0.1618958 2.586441e-06
0.152856 2.576138e-06
0.1656151 2.670043e-06
0.1554358 2.746604e-06
0.1473661 2.758386e-06
0.135673 2.824605e-06
0.1344227 2.829237e-06
0.1400414 2.747258e-06
0.1503741 2.831912e-06
0.1464825 2.82965e-06
0.1572719 2.834653e-06
0.1708614 2.842885e-06
0.152369 2.846123e-06
0.1396592 2.810124e-06
0.1212247 2.853027e-06
0.1488533 2.794085e-06
0.1513645 2.74587e-06
0.1502368 2.673914e-06
0.1224811 2.685969e-06
0.1229415 2.741798e-06
0.1209409 2.730452e-06
0.1183281 2.676767e-06
0.1236328 2.628439e-06
0.1222137 2.676575e-06
0.1343219 2.706565e-06
0.1258817 2.690628e-06
0.1268265 2.715029e-06
0.1319497 2.672316e-06
0.142525 2.610975e-06
0.1465276 2.646599e-06
0.1427105 2.647831e-06
0.1431679 2.658448e-06
0.1430454 2.622265e-06
0.14523 2.6816e-06
0.1461354 2.731319e-06
0.1263199 2.769006e-06
0.1315337 2.802721e-06
0.1320049 2.76306e-06
0.1385796 2.755241e-06
0.1345801 2.746742e-06
0.1309356 2.801066e-06
0.1222676 2.794627e-06
0.1227204 2.784215e-06
0.1262803 2.688553e-06
0.1270206 2.727144e-06
0.1115838 2.755806e-06
0.1099286 2.732959e-06
0.1009638 2.700314e-06
0.0989201 2.701913e-06
0.1181774 2.828558e-06
0.1185232 2.892383e-06
0.1115712 2.926616e-06
0.09802937 2.926789e-06
0.1016892 2.906908e-06
0.105832 2.854999e-06
0.09897298 2.814689e-06
0.1023237 2.797623e-06
0.09270463 2.825518e-06
0.09651768 2.954685e-06
0.09141725 3.020743e-06
0.09945918 3.049457e-06
0.1074171 3.064772e-06
0.1013129 3.088915e-06
0.0919942 3.039782e-06
0.09517977 3.044457e-06
0.09063968 3.075784e-06
0.09346349 3.001168e-06
0.09140393 3.109329e-06
0.09573174 3.120945e-06
0.09382924 3.027582e-06
0.09652771 3.175564e-06
0.08271198 3.111438e-06
0.08808481 3.102159e-06
0.08336883 3.146378e-06
0.08622532 3.106891e-06
0.1072326 3.108089e-06
0.1187597 3.038076e-06
0.1082698 3.04892e-06
0.08964089 3.035035e-06
0.08922338 3.007142e-06
0.09599969 3.02104e-06
0.09907356 3.049415e-06
0.09467154 3.182708e-06
0.09192292 3.151799e-06
0.1213168 3.14923e-06
0.1376586 3.232732e-06
0.1310116 3.341542e-06
0.124849 3.3201e-06
0.120339 3.362973e-06
0.1257343 3.425789e-06
0.1226391 3.347749e-06
0.1321408 3.387965e-06
0.1437875 3.240205e-06
0.1301903 3.284294e-06
0.1368118 3.336975e-06
0.1279634 3.314937e-06
0.09587971 3.317027e-06
0.08886229 3.34428e-06
0.07997648 3.442214e-06
0.0845387 3.357117e-06
0.09146358 3.291851e-06
0.08132162 3.377015e-06
0.07602257 3.373276e-06
0.07138228 3.288235e-06
0.07137781 3.149093e-06
0.07355905 3.142281e-06
0.07005331 3.060933e-06
0.07460359 3.075586e-06
0.08271714 2.991835e-06
0.08529376 2.963449e-06
0.09998062 2.935663e-06
0.09469252 2.918297e-06
0.08725721 2.985083e-06
0.09834324 2.961835e-06
0.0967062 2.828116e-06
0.09864787 2.721194e-06
0.1070323 2.808294e-06
0.08611167 2.8451e-06
0.08549335 2.870251e-06
0.08273377 2.849868e-06
0.09210626 2.876465e-06
0.09618094 2.966536e-06
0.08947052 2.933694e-06
0.09835456 2.900888e-06
0.08760143 2.929103e-06
0.08669585 2.967001e-06
0.08387263 2.945024e-06
0.09012304 2.895023e-06
0.08924696 2.912096e-06
0.09673954 2.883748e-06
0.1039318 2.899548e-06
0.1084093 2.76902e-06
0.08953895 2.681699e-06
0.1095746 2.781113e-06
0.1189193 2.727195e-06
0.1129769 2.717386e-06
0.1237603 2.70529e-06
0.1290047 2.639184e-06
0.1463562 2.640165e-06
0.146811 2.558792e-06
0.1420624 2.532308e-06
0.142455 2.502224e-06
0.1541025 2.474983e-06
0.1605367 2.481509e-06
0.1432999 2.503364e-06
0.1482526 2.492547e-06
0.1433754 2.452636e-06
0.1362498 2.53445e-06
0.1489833 2.593845e-06
0.1478002 2.585247e-06
0.1265721 2.616092e-06
0.1392503 2.658248e-06
0.1413458 2.537174e-06
0.135337 2.573992e-06
0.1299744 2.626776e-06
0.1445031 2.648179e-06
0.1508495 2.598109e-06
0.1554084 2.550435e-06
0.13781 2.617667e-06
0.1372848 2.559182e-06
0.1387898 2.542069e-06
0.1328463 2.627478e-06
0.1471665 2.654267e-06
0.1311001 2.727571e-06
0.1228668 2.734726e-06
0.1297358 2.731938e-06
0.1303699 2.714812e-06
0.1106978 2.704675e-06
0.1123556 2.650785e-06
0.1168344 2.519465e-06
0.1139784 2.43304e-06
0.104744 2.473539e-06
0.12206 2.499068e-06
0.1288944 2.470739e-06
0.1307808 2.424278e-06
0.1393173 2.417594e-06
0.1302264 2.464189e-06
0.1438504 2.484761e-06
0.1456228 2.527259e-06
0.1498542 2.496622e-06
0.1243469 2.520433e-06
0.128133 2.561178e-06
0.1257627 2.498084e-06
0.0975221 2.492123e-06
0.1056337 2.540665e-06
0.1138741 2.547826e-06
0.1119087 2.645584e-06
0.1214056 2.628232e-06
0.1235964 2.590219e-06
0.1064216 2.601932e-06
0.1095655 2.563368e-06
0.1236624 2.587203e-06
0.1266848 2.581601e-06
0.1267394 2.540597e-06
0.1404938 2.573997e-06
0.1382634 2.573772e-06
0.1435808 2.57279e-06
0.1530856 2.54909e-06
0.1531575 2.533036e-06
0.1516182 2.600763e-06
0.1518053 2.580239e-06
0.1610044 2.552438e-06
0.1445066 2.490667e-06
0.1322609 2.464391e-06
0.1130771 2.487847e-06
0.1220865 2.524156e-06
0.1130212 2.520146e-06
0.123861 2.488513e-06
0.1069814 2.562716e-06
0.09555663 2.59635e-06
0.1030588 2.556206e-06
0.09591175 2.600523e-06
0.1007706 2.674814e-06
0.1076179 2.613251e-06
0.09633204 2.63108e-06
0.09053026 2.621683e-06
0.09719701 2.56145e-06
0.09688859 2.519522e-06
0.110763 2.490938e-06
0.1097601 2.394703e-06
0.1261053 2.388211e-06
0.1232123 2.408948e-06
0.1524865 2.367041e-06
0.1516049 2.277494e-06
0.165618 2.331861e-06
0.1512857 2.337045e-06
0.1426443 2.325485e-06
0.1430626 2.293105e-06
0.1251663 2.279672e-06
0.1298478 2.366072e-06
0.1573428 2.349032e-06
0.1348503 2.303552e-06
0.1488203 2.268394e-06
0.1464252 2.171742e-06
0.1686058 2.168994e-06
0.178312 2.168538e-06
0.176036 2.248284e-06
0.1733382 2.205115e-06
0.1755346 2.159922e-06
0.1836923 2.189747e-06
0.1820226 2.242156e-06
0.1674872 2.245332e-06
0.1703408 2.305877e-06
0.1760697 2.356304e-06
0.170387 2.35803e-06
0.1863614 2.339257e-06
0.1858234 2.346483e-06
0.1958264 2.294315e-06
0.1650492 2.32668e-06
0.1594472 2.254438e-06
0.1666406 2.243404e-06
0.1615273 2.214514e-06
0.1490801 2.267066e-06
0.1474367 2.336242e-06
0.1342885 2.354873e-06
0.1339936 2.399894e-06
0.1179209 2.483379e-06
0.1268064 2.471012e-06
0.1357977 2.531602e-06
0.1200208 2.634656e-06
0.1276115 2.527274e-06
0.1236334 2.520074e-06
0.1411977 2.589955e-06
0.138893 2.556384e-06
0.1526932 2.599517e-06
0.1532563 2.663166e-06
0.1263806 2.664339e-06
0.1206527 2.616974e-06
0.1084685 2.578312e-06
0.1223477 2.539836e-06
0.1277366 2.562602e-06
0.1382687 2.576484e-06
0.1347346 2.561149e-06
0.1137011 2.643648e-06
0.1016131 2.706954e-06
0.09297545 2.716844e-06
0.0888991 2.702123e-06
0.08887082 2.67849e-06
0.08309757 2.553142e-06
0.07726977 2.601427e-06
0.08754442 2.595122e-06
0.09099522 2.540451e-06
0.08605145 2.619454e-06
0.09467814 2.721841e-06
0.09637996 2.67562e-06
0.09655892 2.647602e-06
0.09180663 2.653831e-06
0.08760006 2.584743e-06
0.0800555 2.555424e-06
0.08934679 2.589005e-06
0.09466496 2.591388e-06
